age_month,severely_stunted,stunted_from,stunted_to,normal_from,normal_to,tall
60,95.1,95.2,99.8,99.9,118.9,119
61,95.2,95.3,100,100.1,119.1,119.2
62,95.6,95.7,100.4,100.5,119.7,119.8
63,96,96.1,100.9,101,120.3,120.4
64,96.4,96.5,101.3,101.4,120.9,121
65,96.9,97,101.8,101.9,121.5,121.6
66,97.3,97.4,102.2,102.3,122,122.1
67,97.7,97.8,102.6,102.7,122.6,122.7
68,98.1,98.2,103.1,103.2,123.2,123.3
69,98.5,98.6,103.5,103.6,123.7,123.8
70,98.9,99,103.9,104,124.3,124.4
71,99.3,99.4,104.4,104.5,124.8,124.9
72,99.8,99.9,104.8,104.9,125.4,130.5
73,100.2,100.3,105.2,105.3,125.9,131.1
74,100.5,100.6,105.6,105.7,126.4,131.6
75,100.9,101,106,106.1,127,132.2
76,101.3,101.4,106.5,106.6,127.5,132.7
77,101.7,101.8,106.9,107,128,133.3
78,102.1,102.2,107.3,107.4,128.6,133.9
79,102.5,102.6,107.7,107.8,129.1,134.4
80,102.9,103,108.1,108.2,129.6,135
81,103.2,103.3,108.5,108.6,130.2,135.5
82,103.6,103.7,108.9,109,130.7,136.1
83,104,104.1,109.4,109.5,131.2,136.7
84,104.4,104.5,109.8,109.9,131.7,137.2
85,104.8,104.9,110.2,110.3,132.3,137.8
86,105.2,105.3,110.6,110.7,132.8,138.3
87,105.6,105.7,111,111.1,133.3,138.9
88,106,106.1,111.5,111.6,133.9,139.4
89,106.4,106.5,111.9,112,134.4,140
90,106.8,106.9,112.3,112.4,134.9,140.6
91,107.2,107.3,112.7,112.8,135.5,141.1
92,107.6,107.7,113.1,113.2,136,141.7
93,108,108.1,113.6,113.7,136.5,142.3
94,108.4,108.5,114,114.1,137.1,142.8
95,108.8,108.9,114.4,114.5,137.6,143.4
96,109.2,109.3,114.9,115,138.2,143.9
97,109.6,109.7,115.3,115.4,138.7,144.5
98,110,110.1,115.7,115.8,139.2,145.1
99,110.4,110.5,116.2,116.3,139.8,145.7
100,110.8,110.9,116.6,116.7,140.3,146.2
101,111.2,111.3,117,117.1,140.9,146.8
102,111.6,111.7,117.5,117.6,141.4,147.4
103,112,112.1,117.9,118,142,147.9
104,112.5,112.6,118.4,118.5,142.5,148.5
105,112.9,113,118.8,118.9,143.1,149.1
106,113.3,113.4,119.3,119.4,143.6,149.7
107,113.7,113.8,119.7,119.8,144.2,150.2
108,114.2,114.3,120.2,120.3,144.7,150.8
109,114.6,114.7,120.6,120.7,145.3,151.4
110,115,115.1,121.1,121.2,145.8,152
111,115.5,115.6,121.5,121.6,146.4,152.6
112,115.9,116,122,122.1,146.9,153.1
113,116.3,116.4,122.5,122.6,147.5,153.7
114,116.8,116.9,122.9,123,148.1,154.3
115,117.2,117.3,123.4,123.5,148.6,154.9
116,117.7,117.8,123.9,124,149.2,155.5
117,118.1,118.2,124.3,124.4,149.7,156.1
118,118.5,118.6,124.8,124.9,150.3,156.7
119,119,119.1,125.3,125.4,150.9,157.2
120,119.4,119.5,125.7,125.8,151.4,157.8
