age_month,severely_stunted,stunted_from,stunted_to,normal_from,normal_to,tall
105,113.5,113.6,119.3,119.4,143.1,149
106,113.8,113.9,119.7,119.8,143.6,149.5
107,114.2,114.3,120.1,120.2,144.1,150.1
108,114.5,114.6,120.4,120.5,144.6,150.6
109,114.9,115,120.8,120.9,145.1,151.1
110,115.2,115.3,121.2,121.3,145.6,151.7
111,115.6,115.7,121.6,121.7,146.1,152.2
112,115.9,116,121.9,122,146.6,152.7
113,116.3,116.4,122.3,122.4,147.1,153.2
114,116.6,116.7,122.7,122.8,147.6,153.8
115,116.9,117,123.1,123.2,148.1,154.3
116,117.3,117.4,123.4,123.5,148.6,154.8
117,117.6,117.7,123.8,123.9,149.1,155.3
118,118,118.1,124.2,124.3,149.5,155.9
119,118.3,118.4,124.6,124.7,150,156.4
120,118.7,118.8,124.9,125,150.5,156.9
